time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
125.0,533.33,0.0,2076.66,3460.4,3599.54,3972.85,2569.04,3328.71,4874.35,4741.59,433.37,545.83,3753.89,3835.03,1430.48,1372.09,4310.0,4284.05
126.0,533.33,0.0,2136.06,3614.31,3677.04,4062.39,2573.42,3338.54,4925.3,4781.67,445.78,552.53,3826.63,3908.32,1447.52,1395.5,4326.02,4307.34
127.0,533.33,0.0,2186.12,3733.6,3739.74,4117.65,2605.92,3362.91,4969.67,4818.39,441.34,563.78,3913.67,3977.3,1433.25,1377.36,4390.78,4373.95
128.0,533.33,0.0,2240.26,3854.69,3811.71,4205.45,2594.55,3360.3,5006.96,4877.95,448.09,562.33,3967.45,4035.09,1435.17,1391.07,4425.58,4395.84
129.0,533.33,0.0,2288.25,3979.84,3874.4,4252.24,2587.33,3374.84,5035.61,4879.76,456.98,576.33,4003.1,4080.44,1442.83,1399.73,4440.84,4427.95
130.0,533.33,0.0,2341.81,4089.8,3908.0,4294.36,2611.61,3397.88,5063.62,4905.02,464.82,600.41,4075.28,4111.49,1445.18,1406.29,4477.59,4460.89
131.0,533.33,0.0,2398.09,4216.96,3961.73,4340.4,2627.17,3407.24,5078.78,4970.76,473.2,596.76,4120.24,4164.19,1452.22,1407.78,4487.83,4477.93
132.0,533.33,0.0,2442.54,4317.01,3993.21,4386.06,2623.79,3407.24,5111.79,4960.55,478.03,609.38,4183.81,4199.21,1456.06,1398.04,4506.65,4491.59
133.0,533.33,0.0,2493.39,4397.86,4058.85,4447.97,2633.4,3401.09,5128.16,4985.73,484.1,616.35,4207.75,4210.38,1465.04,1412.86,4542.7,4507.33
134.0,533.33,0.0,2534.17,4493.64,4062.39,4497.75,2644.06,3401.68,5146.06,5014.3,488.22,611.58,4250.59,4275.76,1454.78,1402.48,4560.62,4536.85
135.0,533.33,0.0,2573.16,4582.39,4096.59,4531.35,2656.3,3431.27,5159.14,5030.46,490.01,620.94,4285.71,4290.7,1466.75,1402.91,4582.39,4538.57
136.0,533.33,0.0,2620.16,4662.09,4123.16,4546.49,2654.21,3413.97,5164.38,5065.1,498.8,632.52,4327.36,4303.67,1452.22,1417.95,4612.57,4554.07
137.0,533.33,0.0,2647.7,4757.52,4145.93,4572.71,2661.78,3414.26,5184.99,5051.45,507.95,642.83,4357.82,4322.35,1467.18,1433.25,4611.52,4572.36
138.0,533.33,0.0,2680.07,4849.19,4176.28,4569.6,2677.71,3425.11,5206.04,5077.67,506.34,641.91,4366.89,4358.5,1470.18,1408.41,4629.27,4596.25
139.0,533.33,0.0,2719.18,4930.38,4174.97,4623.0,2670.13,3424.52,5205.29,5093.97,516.59,646.7,4389.43,4377.65,1474.25,1414.98,4622.65,4587.59
140.0,533.33,0.0,2758.53,4970.76,4197.9,4656.84,2650.57,3432.15,5225.26,5092.49,501.67,660.56,4447.29,4379.67,1443.68,1426.45,4680.3,4600.41
141.0,533.33,0.0,2792.27,5057.72,4233.42,4664.18,2681.64,3439.79,5240.74,5089.52,505.08,660.93,4438.8,4414.75,1452.43,1405.02,4687.67,4609.44
142.0,533.33,0.0,2819.5,5119.23,4262.83,4668.39,2662.56,3459.22,5251.33,5122.95,517.13,667.22,4468.39,4434.06,1466.97,1412.86,4677.85,4629.96
143.0,533.33,0.0,2853.83,5175.24,4269.13,4693.64,2663.08,3460.99,5233.94,5128.16,526.5,673.89,4495.01,4444.91,1469.32,1414.35,4678.9,4641.82
144.0,533.33,0.0,2878.34,5228.65,4292.03,4729.93,2686.88,3449.5,5263.08,5124.06,519.83,683.17,4508.7,4455.11,1466.54,1405.23,4692.59,4640.07
145.0,533.33,0.0,2911.09,5272.56,4313.0,4745.48,2690.54,3448.62,5253.61,5149.8,523.97,686.33,4559.93,4454.09,1462.9,1410.74,4714.41,4634.5
146.0,533.33,0.0,2929.29,5314.82,4336.38,4779.18,2681.64,3452.15,5257.02,5144.94,516.59,679.83,4560.28,4476.57,1464.18,1420.5,4723.22,4635.54
147.0,533.33,0.0,2943.18,5373.07,4346.09,4779.53,2682.95,3462.47,5271.05,5145.69,525.59,709.99,4568.91,4483.05,1467.82,1429.63,4724.28,4629.96
148.0,533.33,0.0,2982.29,5413.18,4354.13,4799.47,2704.45,3470.73,5258.91,5155.4,536.79,703.46,4566.15,4500.48,1478.75,1418.38,4711.94,4654.39
149.0,533.33,0.0,3001.52,5451.55,4372.94,4811.24,2686.35,3456.27,5269.15,5164.38,530.1,700.48,4590.36,4517.62,1467.39,1418.59,4736.29,4678.2
